Model,Precision,Recall,f1 score,Train Accuracy,Test Accuracy,Loss,ROC-AUC,Train Time (s)
BRNN RMSProp,0.9741898148148148,0.955672268907563,0.9646493925492766,0.9799330830574036,0.982174688057041,0.1325657963752746,0.955672268907563,136.49
BRNN Adam,0.966625514403292,0.9203781512605044,0.9416839916839916,0.9771460294723512,0.9714795008912656,0.162270501255989,0.9203781512605044,137.58
BRNN Nadam,0.9470558882235528,0.8321428571428571,0.8772385557477147,0.9955406785011292,0.9447415329768272,0.1586285084486007,0.8321428571428571,143.95
BRNN SGD,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.4413251280784607,0.5,143.17
BRNN Adagrad,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.4872974455356598,0.5,136.13
BRNN Ftrl,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.6894745230674744,0.5,135.64
BRNN SGD-Momentum,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.4248500168323517,0.5,136.47
BRNN SGD-Nesterov-Momentum,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.4240330457687378,0.5,135.72
BRNN Adam-Weight-Decay,0.4242424242424242,0.5,0.4590163934426229,0.8350055813789368,0.8484848484848485,0.4160571992397308,0.5,143.33
BRNN Adadelta,0.5090477360189962,0.5163865546218487,0.3881775764832226,0.4364548623561859,0.4171122994652406,0.7017707824707031,0.5163865546218487,136.04
